,date,price_(close),price_(high),price_(low),price_(open),circulating_marketcap,circulating_supply,supply_pct
1667,2017-02-23,1185.8921325060453,1195.655455740707,1123.616418120463,1128.5426718072454,18259741757.02166,16183214.21658041,0.00011611311008619118
1666,2017-02-24,1185.2772158602331,1218.3589259069795,1110.8161771497369,1184.8463725882152,19182317118.96112,16185255.27548576,0.00012612197293027094
1665,2017-02-25,1154.304246996966,1189.7634269836335,1129.4183453680096,1185.118918636119,19180721100.330467,16187347.26329948,0.0001292526919169923
1664,2017-02-26,1179.3041791003195,1187.76499738626,1132.6310634615058,1153.7060043976164,18679492862.880997,16189576.05717886,0.00013768740752428954
1663,2017-02-27,1196.577218927157,1200.057266815622,1172.6052029036275,1179.6577794466837,19096190746.61585,16191379.40830105,0.00011138964453549782
1662,2017-02-28,1191.0265855454654,1214.6787299162092,1179.4138934952996,1196.6331931703194,19355549677.358944,16193296.32513796,0.00011839119994472291
1661,2017-03-01,1230.4523645563208,1233.3382715021091,1171.1113600662943,1191.3390024063851,19275245639.422,16195101.6439068,0.00011148556369211526
1660,2017-03-02,1259.5317027018823,1284.4266912551966,1214.1347886697656,1231.05893180189,19944674056.75333,16197068.80174911,0.00012146622389686001
1659,2017-03-03,1289.4751716002206,1294.1470470597628,1256.205804643603,1259.6854317772734,20411792128.797825,16198960.5608508,0.0001167963861143928
1658,2017-03-04,1266.602512818003,1293.5935959055018,1236.692594745371,1288.986664284998,20889193349.97216,16200614.53470985,0.00010210370306396044
1657,2017-03-05,1277.2332212971194,1278.6047970768184,1246.446620786183,1266.7495754066465,20542938963.112568,16202455.19272197,0.00011361655498776102
1656,2017-03-06,1282.7552972349793,1288.0530536161325,1267.9500067753825,1275.308363499432,20658732202.1164,16204233.60446959,0.00010976186796796128
1655,2017-03-07,1233.3529959550203,1286.10428066933,1169.3167493737917,1282.6974708731768,20756557994.34521,16206152.46206664,0.00011841705346182785
1654,2017-03-08,1149.1638746602723,1245.5753657933053,1143.9019695546735,1233.1224527486868,19989763571.59659,16207932.88428478,0.00010986088291509155
1653,2017-03-09,1191.9489653185974,1207.931542681003,1134.5987379684082,1152.116285283411,18676342053.92355,16209787.16056553,0.00011440547625607422
1652,2017-03-10,1114.4406509369978,1326.336163677263,1009.6431352477612,1192.2237520133624,19323427862.981068,16211746.16362839,0.00012085310210774303
1651,2017-03-11,1176.4829539156271,1199.0943227126509,1105.6905227930624,1112.433524917591,18039273036.2934,16213612.80990226,0.00011514159270875624
1650,2017-03-12,1227.5641326676327,1238.8069518063244,1170.2667552831026,1176.9170651843012,19082669556.539368,16215553.5981378,0.00011970115842130369
1649,2017-03-13,1240.3486563738172,1247.663438991007,1211.7692296335235,1229.0873292315364,19903845910.69485,16217369.80953734,0.00011200427962876347
1648,2017-03-14,1244.787712975644,1259.542292039121,1224.108827710526,1240.8695035413996,20118709907.674904,16219325.48104472,0.00012059116431029082
1647,2017-03-15,1258.2324937739138,1261.770245937451,1242.951105918788,1244.6222955915275,20200006934.77541,16221104.80297192,0.00010970381778685478
1646,2017-03-16,1170.0234321027683,1262.7069476706251,1125.9585635598498,1259.666342248268,20420355930.69713,16223022.87859054,0.00011824568313412165
1645,2017-03-17,1072.1051169777224,1171.4420170740966,1066.5681927860194,1170.5676620395818,19020819598.09337,16224951.83630201,0.00011890248358192856
1644,2017-03-18,969.1311621766416,1102.3148498223452,938.8252611630586,1071.854297071962,17360929207.862072,16226918.51998086,0.00012121352954963527
1643,2017-03-19,1022.9997224496456,1063.1706350052366,968.3070937002972,968.652718061491,15737310777.987047,16228984.97165772,0.00012734714075968157
1642,2017-03-20,1039.6084745032726,1054.9949792592415,1010.6947053825,1021.9406227993984,16560008972.004728,16230689.04510794,0.00010500185028194942
1641,2017-03-21,1115.5087918495697,1120.8827198054396,1035.472301133698,1039.32054253258,16927363494.912144,16232468.43274349,0.00010963105944572504
1640,2017-03-22,1039.724990204397,1115.9392643503566,989.6246582105804,1115.3689773452115,18115321099.14829,16234460.47385519,0.0001227195432385031
1639,2017-03-23,1031.342616417111,1054.0088514793383,1016.2724468382812,1040.4579373929482,16867508925.203232,16236315.04408907,0.00011423664105536524
1638,2017-03-24,935.244932315216,1033.835651140383,922.9428290224574,1031.4105729956038,16727762916.79868,16238519.41092181,0.00013576768045919785
1637,2017-03-25,966.014685952957,975.35281153268,890.287422338926,935.2126800057706,15209814357.08932,16240185.0238605,0.00010257172446204166
1636,2017-03-26,965.8248588566568,1002.415330329656,945.386557501918,967.7236786408624,15729709331.248642,16242262.98688515,0.00012795193044889963
1635,2017-03-27,1040.8726381432916,1045.2508444597322,957.6576659216306,968.7677624891212,15670094864.939678,16243917.33481475,0.00010185452180744292
1634,2017-03-28,1045.0814796011846,1066.5767558919051,1015.87651355441,1041.0525504756224,16905545476.556671,16245859.24234274,0.00011954675020597882
1633,2017-03-29,1042.3413217366367,1077.4710182837823,1009.7887518807582,1044.3753491151533,16962430808.250956,16247588.65471411,0.00010645250248519922
1632,2017-03-30,1042.046912369246,1054.8171420070785,1023.1674828306024,1043.0350659780916,16962380196.559252,16249642.9929253,0.00012643957542546325
1631,2017-03-31,1080.4716144006045,1088.7714490201977,1040.2173615751813,1042.4649996136131,16918757246.2465,16251335.849779,0.00010417809513962872
1630,2017-04-01,1091.429982576714,1107.7844261334053,1069.5836430040567,1080.570277025895,17561781129.828888,16252991.41174794,0.00010187236201653072
1629,2017-04-02,1103.154725410781,1116.6046666116677,1077.1757653484572,1090.975674650121,17738461395.80137,16254970.98372429,0.0001217973926277427
1628,2017-04-03,1149.5224947759204,1161.5782192553647,1100.8699183658837,1103.4240888901884,17919186629.071136,16257174.81140348,0.00013557869044467097
1627,2017-04-04,1144.9176800485834,1161.932180594781,1124.3474196472505,1150.2665255866525,18688405057.63578,16258741.48626606,9.636821162062326e-05
1626,2017-04-05,1134.5803958564247,1147.70771528258,1113.8652471956195,1144.7053934643234,18605587514.22032,16260772.45829747,0.00012491569738815045
1625,2017-04-06,1193.0158434329112,1205.583511387057,1132.8118685222748,1133.7265514008104,18437798834.64007,16262615.00683141,0.00011331248491819323
1624,2017-04-07,1193.3887440376798,1205.7955306149895,1176.9392592084464,1191.773747988442,19380973077.98096,16264645.9745408,0.0001248856785047714
1623,2017-04-08,1184.8930629322524,1201.0488315695964,1170.7695736987998,1193.6037915724455,19396895124.11565,16266361.78552755,0.0001054932882913473
1622,2017-04-09,1210.6129060315643,1222.0912891948535,1173.9278845680246,1186.2169685247748,19302783389.03301,16268353.45680254,0.00012244110276471432
